gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
IGHA1	0.3474637156526276	0.9653619155023058	-0.7373160497374136	-0.5954968296635744	-0.7383296958136689	-0.7439407550386893	-0.24991711319028667	0.6235635986918178	3.486056473102729	-0.7348773572632218	-0.17364459813063413	-0.0764362427624473	0.633093398885831	0.7806762867270962	-0.13441047325872435	-0.2722445272839795	-0.1597082188192466	-0.7404316168077275	-0.7393160396520834	-0.7401458711407091
NES	-0.5864711285376634	-0.5894339853085417	-0.43474930156047487	2.5424661006255174	-0.20767209373205062	0.06836408420533303	-0.49033809448704996	-0.4738260400371448	-0.39855015103014735	2.7357958853530633	-0.558197363921391	-0.5528390848837558	0.027013387825016225	-0.5737109540387975	1.3088302649701746	0.002467278102980988	-0.5440792296038002	-0.412715538337936	-0.40884477984054585	-0.4535092557627862
RGS5	-0.7578922673351539	-0.17637145894003742	2.0812271200093213	-0.6033635570845827	-0.3117861639019556	-0.3166015401334387	-0.6344106019292048	0.3467684590943873	-0.5989411712098199	2.4693321899703835	-0.6632519722178195	-0.9378166653962731	-0.18605292877539417	-1.1656039897447228	-1.0485498232140693	0.09674725743068097	0.36267338553004275	0.6295055783530269	-0.05860930355038986	1.472997453045023
CD3D	-0.31471060993301697	0.13824859491350885	-0.29862939870667166	-0.5052967006830092	-0.5468392902649916	-0.5774262628634488	-0.26290389540280296	0.31192924752567686	0.10056645151488806	-0.5642980150651428	4.037774659899821	-0.19128605209748065	0.176898232454319	-0.2624625791610578	0.21068506148936061	0.11938672045448745	0.0761321993434969	-0.5477560167113104	-0.5544745196573931	-0.5455378270492316
CD3E	-0.06885878177173967	0.21316465233982793	-0.42171737464781	-0.43252490826990003	-0.5801603533925105	-0.5801603533925105	-0.20842333825185924	0.6674738791705259	-0.2102594131731464	-0.536983203795642	3.9633384156010085	-0.19212977860467614	-0.37519625375765875	-0.28797622971691844	0.11291045795963509	0.2364571318500168	0.36320667808234713	-0.5544861791477323	-0.5575581788727584	-0.5501168682084994
CD3G	-0.24507115480147265	0.12754460090314831	-0.0977660328530313	-0.4567163317119047	-0.564528171634316	-0.6166955761523925	-0.2746742446980962	0.7123116583313067	-0.04425933480452298	-0.5705386668759769	3.933691987663421	-0.38106070077398696	-0.43647934129572147	-0.19575736270077165	0.4054869300438936	0.2900817022865416	0.13118716386242865	-0.5760757529812698	-0.5734594137113479	-0.5672219580959283
TRBC1	-0.1696546347156347	-0.05553009113302322	-0.6324693672309051	-0.5013431506673073	-0.6042083869152121	-0.4339259765523431	-0.28177084554191084	0.7672009438818087	-0.006150361912291296	-0.598632534321762	3.8855399806766653	-0.2623395762563432	-0.12428063059443302	-0.2423227975419578	0.39896833225344003	0.2636208609923065	0.4120126252816799	-0.5968434074746922	-0.62233096223847	-0.5955400199896149
TRBC2	-0.09680807967448937	0.7301755965518938	-0.5626844702716526	-0.5200157696721244	-0.6412142227042598	-0.6702051836134517	-0.2400104469142296	0.5762001483403091	-0.03024326734258678	-0.6196969209357889	3.7697450872529323	-0.19481087887634943	-0.2820343919450049	-0.17583332765660334	0.7768040294450566	-0.13262167905841532	0.21696316170618055	-0.6354771639422597	-0.6389414118180202	-0.6292908088711358
CD8A	-0.23531680759629683	0.14561985658574406	0.36022988922768123	-0.5164420993839988	-0.6575297494083648	-0.6013144855662069	-0.2546209092931979	1.1795768460129337	-0.2523319724148194	-0.7015064533981077	3.752430663175414	-0.23469145575388162	-0.18091981761234896	-0.3620476637456174	0.3223622524825671	0.011871551375802716	0.185868813943001	-0.6472083123738626	-0.6403709677949374	-0.6736591784615032
S100A4	-0.4724993573097613	1.0454879374802803	-0.48243389387817015	-0.837153110372501	-0.5369735701302061	-0.6307963291129055	0.6666114028831939	0.6601643926013032	-0.049972451388307665	-0.9080524993900251	2.6653433555716317	-0.424984769382707	-0.35724508957055384	-0.5698941181311351	1.4457896022294903	-0.05507008174401959	1.4813263807440566	-0.888832260578693	-0.9432438647831466	-0.8075716757378218
TPSB2	-0.15587004117878037	0.08677714980699582	-0.5436583990022632	-0.749826122173207	-0.5186217968651695	-0.816900990651785	1.0645504476371201	0.12171556444948255	-0.31025326303619916	-0.649754473938916	0.02760136057051778	1.0952762175733604	0.5344461632514912	3.428108743272022	-0.816900990651785	0.2875357689887582	0.048611897815416284	-0.6871739887900024	-0.7280298094292162	-0.7176334376478388
THY1	-0.43531380463764635	-0.4160535909535728	-0.3353097133497196	0.08356587868191086	-0.20212382789188535	-0.4849547394623537	-0.4351412740878944	-0.35235714039700466	-0.4255572418276326	-0.3312451649237994	-0.420784634998334	0.5907700169633807	0.495125702084629	0.37122723622053067	4.002124601668962	-0.037316144388092394	-0.3082906066214407	-0.4564210071932308	-0.45758328826134365	-0.4443612566254629
LUM	-0.513028458104558	-0.5141411063041427	-0.12149335053707581	-0.3864893229594432	0.17916132668895918	-0.2533600485143709	-0.4293297927844558	-0.492644312700083	-0.5230499605204844	1.7566063339815943	-0.5198862833511532	0.32024726842775214	-0.25933928217208996	-0.4553051330464665	3.64417996448257	-0.03049481604547151	-0.2915029213522103	-0.3582697631809201	-0.4024917558699563	-0.3493685861379937
COL1A1	-0.4751250368167255	-0.37970391170809803	-0.5985419636260882	-0.6107794816723372	0.14676094403828943	-0.6201706734225532	-0.5238087430221666	-0.2556396994777444	-0.5239905493764976	-0.13539935394806302	-0.46604511000373766	0.9435395416421036	0.9326991090960205	-0.0827367116923777	3.6200619836911434	0.6739675156680471	0.2815958568261725	-0.6390843641172429	-0.6433941445425266	-0.6442052075356183
COL3A1	-0.3897606572062004	-0.5133396907033564	-0.6254666055833403	-0.5917898920712397	0.07959524139948583	-0.6220690344256015	-0.5927226969153473	-0.4752777506635827	-0.5881227737054113	0.24612859671525747	-0.5597692488916014	0.7396926954612787	0.6059137383652928	-0.10628876342713943	3.4472429772154287	1.3504248168837667	0.5265469626665544	-0.640410497068352	-0.6473050113676554	-0.643222406678237
COL1A2	-0.5545876968565041	-0.5139092792819778	-0.6891745517566222	-0.6916458804776503	0.25483374513045354	-0.7021915946067482	-0.638088522395995	-0.488026251089327	-0.613766552496591	0.09453139397913066	-0.5932771716981238	1.0042621433779408	0.8449428265243608	0.44885472576433366	3.193618316353433	1.2533224094995972	0.5431805397550323	-0.7149461446438437	-0.7242839200267497	-0.7136485350541494
